,latest_sqft,latest_zhvi,mean_price,mean_price_err,mean_stars,mean_stars_err,n,z_hood,loop_i,state,county,city,neighborhood,lon,lat,lon_width,lat_width,bbox_area
142,80.0,175500.0,1.72727272727,0.0885836649632,3.4756097561,0.126678169271,41,272837,3959.0,NC,Mecklenburg,Charlotte,Back Creek Church Road,-80.7414409,35.292221,0.037066,0.02743,3.12541313109
143,139.0,387800.0,1.77551020408,0.0829752155729,3.64383561644,0.106320897468,73,272848,3963.0,NC,Mecklenburg,Charlotte,Ballantyne East,-80.8322749,35.0511099,0.036216,0.0290498,3.20261458114
144,124.0,234900.0,1.81333333333,0.0722792936898,3.45454545455,0.0914938848266,99,272849,3944.0,NC,Mecklenburg,Charlotte,Ballantyne West,-80.8555475,35.0419125,0.0423632,0.049997,6.43130721247
145,,,2.0,0.0,3.42857142857,0.370170554025,7,272864,268.0,AZ,Maricopa,Tempe,Baseline-Hardy,-111.9525129,33.3828275,0.018128,0.009257,1.19861708048
146,77.0,119600.0,1.2,0.1788854382,3.16666666667,0.400616808385,9,272894,4055.0,NC,Mecklenburg,Charlotte,Beatties Ford-Trinity,-80.8519289,35.320346,0.026256,0.030764,2.45362570261
147,84.0,128100.0,1.5,0.133630620956,3.0625,0.241556638027,16,272900,4034.0,NC,Mecklenburg,Charlotte,Becton Park,-80.7023574,35.2020865,0.043227,0.019117,2.55090434761
148,191.0,409400.0,1.9,0.098319208025,3.61627906977,0.142257554519,43,272954,3941.0,NC,Mecklenburg,Charlotte,Beverly Woods,-80.8432699,35.134573,0.024728,0.033954,2.5528438973
149,99.0,94000.0,,,3.5,0.353553390593,2,272956,4004.0,NC,Mecklenburg,Charlotte,Biddleville,-80.8584494,35.244407,0.015573,0.016842,0.79615179205
150,130.0,212300.0,1.51612903226,0.110537121539,3.52040816327,0.142096505381,49,272970,4435.0,NV,Clark,Henderson,Black Mountain,-114.9810015,36.0202597,0.055153,0.0169053,7.52329641817
151,,,1.66666666667,0.272165526976,3.16666666667,0.136082763488,3,272998,5215.0,PA,Allegheny,Pittsburgh,Bon Air,-80.0030006,40.4078362,0.0148347,0.0125008,0.615084305733
152,,,1.33333333333,0.157134840264,3.46666666667,0.334885276099,15,273027,267.0,AZ,Maricopa,Tempe,Brentwood-Cavalier,-111.9306059,33.3947281,0.00863,0.0036823,0.226766066769
153,160.0,208300.0,1.64705882353,0.202769347045,3.30434782609,0.247366336393,23,273029,4068.0,NC,Mecklenburg,Charlotte,Briarcreek-Woodland,-80.7909469,35.2100825,0.020444,0.016541,1.03401137188
154,,,1.66666666667,0.272165526976,4.22222222222,0.209513120352,9,273062,3980.0,NC,Mecklenburg,Charlotte,Brookhill,-80.8672689,35.207157,0.01381,0.008266,0.346181118963
155,117.0,252600.0,1.64705882353,0.0430389267944,3.84004474273,0.0472090499658,447,273086,4453.0,NV,Clark,Las Vegas,Buffalo,-115.2430433,36.1514428,0.0744719,0.0155737,9.4501410275
156,128.0,292000.0,1.82608695652,0.100135520893,3.76470588235,0.144440356157,34,273138,3934.0,NC,Mecklenburg,Charlotte,Carmel,-80.8389379,35.1026875,0.030024,0.034711,3.17017808777
157,120.0,218200.0,1.70614035088,0.0370377541873,3.58547008547,0.0494641292973,351,273177,4452.0,NV,Clark,Las Vegas,Centennial Hills,-115.2729909,36.2771718,0.0662142,0.0590638,31.9012459672
158,,,1.69406392694,0.0475636663012,3.71212121212,0.053180651003,363,273185,370.0,AZ,Maricopa,Mesa,Central,-111.7652413,33.4079609,0.0798954,0.0588238,33.2963502924
159,240.0,294100.0,,,4.5,0.306186217848,4,273215,3960.0,NC,Mecklenburg,Charlotte,Chantilly,-80.8084264,35.211573,0.014515,0.012768,0.565613274615
160,188.0,219300.0,1.74193548387,0.101679363166,3.78409090909,0.116329148912,44,273228,3948.0,NC,Mecklenburg,Charlotte,Cherry,-80.8312864,35.210649,0.009687,0.011518,0.339683038832
